--- Log opened Mon Dec 06 00:14:42 2010
00:14 Starting query in Bitlbee with piratskapartijasrbije
00:14 piratskapartijasrbije| e super
00:14 playahater| 00:14 @playahater| otr connect piratska.partija.srbije@gmail.com
00:14 playahater| 00:14 @root| piratska.partija.srbije@gmail.com: unknown user
00:15 playahater| 00:14 @root| new fingerprint for piratskapartijasrbije: 518CE132 359A1954 61A7846A 1A279359 A65A91AF
00:15 playahater| misim da radi
00:15 playahater| :)
00:15 piratskapartijasrbije| gnome-rdp
00:15 piratskapartijasrbije| uf pogresn prozor
00:15 playahater| :)
00:15 piratskapartijasrbije| e vidi
00:16 piratskapartijasrbije| organizujemo globalan skup sutra uvece ako je moguce
00:16 piratskapartijasrbije| da se ljudi jave
00:16 piratskapartijasrbije| wl izbacuje u utorak TOP secret
00:16 piratskapartijasrbije| krenuce opasan hunt na regionalne cvorove 
00:16 piratskapartijasrbije| net mozda bude ugrozen i to
00:16 piratskapartijasrbije| inicijativa krenula od orgaka iz hrvatske
00:16 playahater| pa to nam na zalost ne gine ..
00:17 piratskapartijasrbije| da skupimo pametne i skilled ljude da porazgovaramo
00:17 playahater| ali do .. dobra ideja ..
00:17 playahater| a gde bi se to odrzalo?
00:17 piratskapartijasrbije| jel oke da cimnemo sve koje znamo za sutra 00:00CET
00:17 piratskapartijasrbije| neki irc
00:17 playahater| pa do jaja ..
00:17 playahater| moze ..
00:17 playahater| mozda malo kasno ..
00:17 playahater| :/
00:17 piratskapartijasrbije| ja zovem kao official PPI board-a
00:17 piratskapartijasrbije| to sad razmisljam za kad da zakazemo sastanak
00:18 playahater| pa desetka je ok ..
00:18 playahater| .. ne znam ..
00:18 playahater| :)
00:18 piratskapartijasrbije| a zapadna obala USA?
00:18 playahater| jebem li ga ..
00:18 playahater| imash neki konverter pir ruci
00:18 playahater| :)
00:18 playahater| *pri
00:19 piratskapartijasrbije| imam
00:19 piratskapartijasrbije| sec
00:19 playahater| koja to zona tamo?
00:19 piratskapartijasrbije| minus 12 cak ja mislim
00:20 piratskapartijasrbije| sad je u LA 15 nedelja
00:20 piratskapartijasrbije| skoro 12
00:20 piratskapartijasrbije| znaci deset
00:21 playahater| desetka,a 
00:21 playahater| pa to je ok ..
00:21 piratskapartijasrbije| pa aj mogu da stignem u deset
00:21 playahater| .. ako si siguran da je 12h razlika .. :) ..
00:22 piratskapartijasrbije| 9 je razlika za LA
00:22 piratskapartijasrbije| evo mi pored vreme
00:22 piratskapartijasrbije| sad je tamo 15h
00:24 piratskapartijasrbije| jel oke da cimnes ljude koje znas za utorak uvece?
00:24 piratskapartijasrbije| cek da pitam ovog ortaka iz nl. 
00:24 playahater| pa ok .. 
00:24 playahater| mozesh da pustish na listu,a? ..
00:24 playahater| il je to previshe javno ..
00:25 piratskapartijasrbije| saljem mail direktno sa svog ppi mejla
00:25 piratskapartijasrbije| @pp-international.net
00:25 piratskapartijasrbije| trebalo bi da da legitimet
00:26 playahater| ok .. ae videtju i sa maretom pa ti javljam ..
00:27 piratskapartijasrbije| aj 
00:27 playahater| ql ..
00:27 piratskapartijasrbije| ja sam online do sutra u10am
00:27 piratskapartijasrbije| javi mi sto vise mozes mejlova
00:27 playahater| ok ..
00:27 playahater| dogovoreto ..
00:28 piratskapartijasrbije| ja sam iskopao neke videcu da sto pre javim ljudima da ne skracjujemo timeframe
00:28 playahater| pa to .. 
00:28 playahater| pustitju mailove josh vecheras .. pa .. videtjemo ..
00:28 piratskapartijasrbije| hajde super
